C1QC	C1QB	0.999
EPHA7	EFNB2	0.997
CDC42	PAK2	0.997
RPS21	EEF2	0.997
EIF3B	RPS3	0.997
EPHB2	EFNB1	0.997
EEF2	EEF2K	0.997
RPS27	EEF2	0.997
EPHB1	EFNB1	0.996
AKT1	EIF4EBP1	0.996
SNAP25	STX1B	0.996
RTN4	RTN4R	0.996
ARF1	ARFGAP1	0.996
CYFIP2	ABI2	0.996
DLGAP2	DLGAP3	0.996
CPLX1	STX1A	0.996
VAMP2	STX1B	0.996
CYFIP1	ABI1	0.996
DLGAP1	SHANK1	0.996
VAMP7	SNAP23	0.995
YES1	SRC	0.995
SRC	STAT3	0.995
MYO5A	RAB27A	0.995
CASK	LIN7C	0.995
CTTN	SRC	0.995
CTNNA2	CTNNB1	0.995
CTNNB1	WNT3A	0.995
AKT1	EGLN1	0.995
EPHA7	EFNA2	0.995
EIF4EBP1	RHEB	0.995
AGRN	LRP4	0.995
PDPK1	RPS6KB1	0.995
CDC42	PAK3	0.995
EGFR	CDH1	0.995
EIF3B	RPS3A	0.995
VAMP2	SYT1	0.994
SNAPIN	DTNBP1	0.994
CDC42	PAK7	0.994
HRAS	NF1	0.994
RHEB	RPS6KB1	0.994
GAD2	SLC32A1	0.994
AKT1	STAT3	0.994
CRHR2	UCN	0.994
EIF4EBP1	RPS6KB1	0.994
CDC42	ARHGEF9	0.994
CTNNB1	PSEN1	0.994
EGFR	PLCG1	0.994
PDYN	OPRM1	0.994
GDI2	RAB8B	0.994
YES1	CDH1	0.994
FZD5	WNT5A	0.994
EIF4E	MTOR	0.994
DTNBP1	BLOC1S6	0.993
EPHB1	EFNB3	0.993
AKT1	ILK	0.993
GAK	HIP1R	0.993
EPHB1	EFNA2	0.993
EIF4E	PABPC1	0.993
CTTN	HIP1R	0.993
CYFIP2	WASF3	0.993
NTF4	BDNF	0.993
EPHA7	EFNB3	0.993
MYO5A	MYRIP	0.993
EPHB2	EFNB3	0.993
EPHB2	EFNA2	0.993
EPHA7	EFNB1	0.993
GRM1	HOMER1	0.993
RPL5	EIF3B	0.992
ITGB1	ITGA8	0.992
STX4	SNAP25	0.992
ITGB3	FLNA	0.992
ARF6	PSD	0.992
RAB27A	MYRIP	0.992
AKT1	RPS6KB1	0.992
ITGB1	ITGA3	0.992
CDC42	RPS6KB1	0.992
EIF4E	RPS6KB1	0.992
DVL1	CTNNB1	0.992
PDYN	OPRK1	0.992
SH3GL2	SH3GL3	0.992
OPRM1	PENK	0.992
DLGAP3	SHANK1	0.992
RAB5C	GDI2	0.991
HRAS	SRC	0.991
EIF4E	EIF4EBP2	0.991
CDC42	ACTR2	0.991
SOS1	EGFR	0.991
AKT1	MDM2	0.991
ARF1	AP3B1	0.991
RAB5C	EEA1	0.991
HNRNPD	FUS	0.991
GABRG2	GABRA1	0.991
SNAPIN	BLOC1S6	0.990
SRC	CDH1	0.990
RAB5C	ARF1	0.990
SYNJ1	ITSN1	0.990
ABI1	WASF3	0.990
DLGAP2	SHANK1	0.990
AKT1	PTEN	0.990
ILK	ITGB1	0.990
RAPGEF4	RAP1A	0.990
GDI2	RAB5A	0.990
CTNNB1	EGFR	0.990
RPS19	EIF3B	0.990
VAMP4	STX1A	0.989
DLGAP2	DLGAP1	0.989
RAC1	STAT3	0.989
EIF4E	EIF3B	0.989
DLGAP3	DLGAP1	0.989
DNM2	CTTN	0.989
STX10	NAPA	0.989
GABRG2	GABRB2	0.989
CYFIP1	FMR1	0.989
MTOR	STAT3	0.989
CNTN1	PTPRZ1	0.989
WASF3	ABI2	0.989
RAB11B	RAB5A	0.989
ACTR2	CTTN	0.988
UNC13B	STX1A	0.988
RPL10A	PABPC1	0.988
GABRA1	GABRB2	0.988
CDC42	RAP1A	0.988
SLC17A7	SLC32A1	0.988
NAPA	VAMP4	0.988
CDC42	SRC	0.988
CTNND1	CTNNB1	0.988
GAK	CLTB	0.988
PICALM	HIP1R	0.988
GRIK2	GRIK5	0.988
CLTB	HIP1R	0.988
SRC	CTNNB1	0.988
EEF2K	RPS6KB1	0.988
RAB5C	RAB11A	0.988
STX4	VAMP7	0.988
RPS14	EIF3B	0.988
RAB5C	RAB8B	0.988
VAMP2	CPLX1	0.988
RAC1	RPS6KB1	0.988
VAMP7	SNAP25	0.987
KCNN2	CALM1	0.987
EIF3B	RPS9	0.987
NRXN1	CASK	0.987
RAB5B	RAB11A	0.987
NRG3	ERBB4	0.987
HOMER1	HOMER2	0.987
SNTB1	DMD	0.987
SLC17A6	SLC32A1	0.987
RAB5A	RAB11A	0.987
NRCAM	ANK3	0.987
RAB5C	RAB11B	0.987
NUMB	PRKCI	0.987
RAB8B	RAB5A	0.987
SYNJ1	SH3GL2	0.987
DVL1	WNT5A	0.987
FZD5	WNT7A	0.987
ADD1	ADD2	0.987
GABRG2	GABRA5	0.986
TUBA1A	TUBB2B	0.986
BNIP3	RHEB	0.986
SYN1	SNAP25	0.986
RAB5B	EEA1	0.986
RPS18	EIF3B	0.986
GRIA2	GRIA4	0.986
ITGB1	ITGA2	0.986
ENAH	PFN2	0.986
MTOR	EGFR	0.986
RAC1	PAK2	0.985
ITGB3	ILK	0.985
STX7	VAMP7	0.985
RPL5	PABPC1	0.985
AGRN	RAPSN	0.985
GAK	CLTA	0.985
CDC42	CDH1	0.985
KCNN2	CALM3	0.985
GRIK3	GRIK5	0.985
CTNNB1	GSK3A	0.985
CCK	NTS	0.985
HOMER1	SHANK1	0.985
NRXN1	LRRTM2	0.985
ROR1	WNT5A	0.985
VPS45	RAB5A	0.985
CTNND1	CTTN	0.985
AKT1	RHEB	0.985
LRRTM1	NRXN2	0.984
LGI1	ADAM23	0.984
ITGB3	ITGA3	0.984
NRCAM	ANK2	0.984
RAB5B	RAB11B	0.984
ACTB	ACTC1	0.984
VAMP2	NAPA	0.984
PRRT2	HRAS	0.984
EIF3B	RPL7	0.984
WASF1	ACTR2	0.984
PTPRA	SRC	0.984
GABRG2	GABRB3	0.984
SYN1	SYT1	0.984
SOS1	ABI1	0.984
HNRNPA3	HNRNPH2	0.984
UNC13B	SNAP25	0.984
HNRNPA3	HNRNPD	0.984
MYH10	MYH9	0.984
CNR1	DRD2	0.984
RAB18	RAB2B	0.983
RPL5	MDM2	0.983
ANK2	SPTBN1	0.983
RPS27	EIF3B	0.983
RPL7	PABPC1	0.983
EIF3B	RPS21	0.983
EIF3B	PABPC1	0.983
FZD9	WNT7A	0.983
BZRAP1	RIMS2	0.983
CHRNB1	RAPSN	0.983
LRRTM2	NRXN2	0.983
RAB5C	RAB5A	0.983
RAB11B	RAB11A	0.983
RAPGEF4	ABCC8	0.983
GRIP1	GRIA2	0.983
ITGB3	ITGA8	0.983
NRXN1	LRRTM1	0.983
SRC	EFNB1	0.982
UNC13B	SYT1	0.982
DNM2	DNM3	0.982
HRAS	FYN	0.982
PIP5K1C	ARF6	0.982
PACSIN1	PACSIN2	0.982
ARF1	ASAP1	0.982
ARF6	RAB11A	0.982
ITSN1	EPHB2	0.982
HRAS	JAK2	0.981
SYN2	SYT1	0.981
AKT1	RAC1	0.981
GLRA1	GLRA4	0.981
ABI1	ABI2	0.981
LAMA5	ITGA3	0.981
USP8	EGFR	0.981
DLG1	GRIA4	0.981
RPL6	EIF3B	0.981
DLGAP4	SHANK1	0.981
SRC	EFNB2	0.981
GABRA5	GABRB3	0.981
SNAP23	VAMP4	0.981
DNM2	ITSN1	0.981
GPHN	ARHGEF9	0.981
SEC22B	STX4	0.980
GABRA5	GABRB2	0.980
RPS3A	PABPC1	0.980
SYT2	VAMP2	0.980
NOS1	CALM1	0.980
VAMP4	STX1B	0.980
GABRG2	GABRB1	0.980
CDC42	WASF1	0.980
ADAM10	EFNA2	0.980
NAPG	VAMP4	0.980
HNRNPA3	FUS	0.980
DLGAP4	DLGAP3	0.980
HIP1R	CLTA	0.980
DVL1	WNT3A	0.980
GRIK4	GRIK2	0.980
DNM2	SH3GL3	0.979
MYO5A	RAB10	0.979
NUMB	PRKCZ	0.979
PENK	OPRK1	0.979
CDC42	FLNA	0.979
GABRA1	GABRB3	0.979
VAMP7	STX1A	0.979
ITGB3	ITGA2	0.979
SYN2	SNAP25	0.979
FZD9	WNT5A	0.979
MTOR	MAF1	0.979
SNAP23	STX1B	0.979
ACTB	PFN2	0.979
GRM1	HOMER2	0.979
CASK	NRXN2	0.979
STX3	SNAP25	0.979
MPP2	LIN7B	0.978
GABRA1	GABRB1	0.978
AKT1	SRC	0.978
TUFM	RPL8	0.978
UNC5C	DCC	0.978
PAK3	RAC1	0.978
GRIK2	DLG1	0.978
FYN	STAT3	0.978
SYT5	SNAP25	0.978
GABRA5	GABRB1	0.978
PABPC1	RPL8	0.978
NUMB	CDH1	0.978
KCND3	KCNIP3	0.978
UNC13B	VAMP2	0.978
SCN2A	ANK3	0.978
GABRA2	GABRG2	0.978
DLGAP2	DLGAP4	0.978
HOMER1	DLGAP1	0.978
HIP1	CLTB	0.977
CAMK2B	CALM1	0.977
NCS1	DRD2	0.977
RAC1	ARHGEF9	0.977
SYNJ1	DNAJC6	0.977
CTNNB1	CTBP1	0.977
FYN	LRP8	0.977
ARF1	PLD2	0.977
ARFGAP1	ARF6	0.977
AKAP5	CALM1	0.977
FZD5	WNT3A	0.977
UNC13B	PPFIA3	0.977
PABPC1	RPS3	0.977
GRIN1	FYN	0.977
RPL14	EIF3B	0.977
SYNJ1	SH3GL3	0.976
SOS1	SRC	0.976
DNAJC5	SNAP25	0.976
VAMP7	VAMP4	0.976
SYT1	SLC17A7	0.976
ILK	GSK3B	0.976
YWHAG	HDAC4	0.976
NEDD4	PTEN	0.976
CDC42	CTTN	0.976
SYT1	SLC32A1	0.976
PORCN	WNT3A	0.976
EXOC3	MYO5A	0.975
GRIN1	GRIN2D	0.975
NRXN1	LRRTM3	0.975
SEC22B	SNAP47	0.975
GRIK4	GRIK3	0.975
GRIK1	GRIK5	0.975
ASAP1	RAB11A	0.975
PRKCZ	PRKCI	0.975
EIF3B	RPS23	0.975
SLC18A3	SLC32A1	0.975
GRM1	DLGAP1	0.975
GRIA3	DLG1	0.975
PLD1	ARF6	0.975
RPS18	PABPC1	0.975
AGRN	DMD	0.975
BDNF	NTF3	0.975
EIF4E	RHEB	0.974
RAPSN	CHRNA1	0.974
HOMER2	SHANK1	0.974
FZD9	WNT3A	0.974
EIF3B	RPL8	0.974
NRXN1	SYT1	0.974
NAPA	SNAP25	0.974
ITGB1	ACTN1	0.974
HIP1	CLTA	0.974
AKAP5	DLG1	0.974
SUMO1	MDM2	0.974
CTTN	CDH1	0.974
GDI2	RAB10	0.974
PICALM	VAMP2	0.974
CTTN	EGFR	0.974
DNAJC6	CLTB	0.974
PICALM	CLTA	0.974
HRAS	PRKCZ	0.974
NAPA	STX1A	0.974
ARRB1	SRC	0.974
RPS19	PABPC1	0.974
SEC22B	NAPG	0.974
CDC42	PRKCZ	0.974
DNM3	SH3GL3	0.973
UNC13B	BZRAP1	0.973
GRIK4	GRIK1	0.973
PICALM	CLTB	0.973
EXOC3	RAB11A	0.973
GRM1	SHANK1	0.973
DNM2	RAB5A	0.973
CYFIP2	FMR1	0.973
SNAP25	SLC32A1	0.973
CYFIP1	FXR2	0.973
ARF1	IQSEC2	0.973
SH3GL2	DNM3	0.973
CDC42	PRKCI	0.973
MYO5A	RAB11A	0.973
VAMP2	VAMP7	0.973
RAB18	RAB3GAP1	0.973
DNM2	SH3GL2	0.973
STX7	NAPA	0.973
DNM2	PACSIN2	0.973
VAMP2	SYN1	0.972
MYO7A	USH1C	0.972
SNAP25	SLC17A7	0.972
PPP1CC	GSK3B	0.972
CYFIP1	ACTR2	0.972
SCN2A	CALM3	0.972
NOS1	ATP2B4	0.972
LRRC4B	PTPRS	0.972
DVL1	FZD5	0.972
GPHN	GLRA4	0.972
LRRTM3	NRXN2	0.972
NLGN3	SHANK1	0.972
SOS1	RAC1	0.972
GPHN	GLRA1	0.972
AKAP5	CALM3	0.972
CDC42	EGFR	0.972
PTPRS	PPFIA3	0.972
RPL6	PABPC1	0.972
CRKL	EGFR	0.971
FZD5	CTNNB1	0.971
GRIN1	LRFN2	0.971
PTEN	MDM2	0.971
FYN	PLD2	0.971
AGRN	GPC1	0.971
STAT3	MAPK14	0.971
CTTN	HIP1	0.971
RPL30	EIF3B	0.971
STXBP5	SNAP25	0.971
CDC42	CTNND1	0.970
ADCYAP1	GHRH	0.970
GSK3B	WNT3A	0.970
DNM2	CLTA	0.970
NAPA	VAMP7	0.970
SH3KBP1	DNM2	0.970
ACTR2	RAC1	0.970
ARF6	PLD2	0.970
ITGB3	SRC	0.970
GIPC1	NTRK2	0.970
TUFM	RPS3	0.970
STX2	SNAP25	0.970
SEC22B	STX7	0.970
CYFIP2	FXR2	0.970
STX3	VAMP7	0.970
RAB2B	RAB5B	0.970
KCNN2	CALM2	0.970
DNAJC6	CLTA	0.970
ACTN1	ACTB	0.970
CAMK2B	GRIN1	0.969
SYT2	CPLX1	0.969
HIP1	GAK	0.969
RPS13	PABPC1	0.969
SPTBN1	ANK3	0.969
DNM2	GAK	0.969
RPS21	PABPC1	0.969
SYT2	SNAP25	0.969
CTBP1	CDH1	0.969
DRD2	PENK	0.969
PTPRA	FYN	0.969
RPL8	EEF1A2	0.969
FCHSD2	ITSN1	0.969
ACTR2	WASF3	0.969
STX11	SNAP23	0.968
CDC42	FYN	0.968
CTNNB1	CDH11	0.968
PDYN	DRD2	0.968
FYN	CRKL	0.968
ARF1	PLD1	0.968
GDI2	RAB11B	0.968
RAC1	ARF6	0.968
ARRB1	ARRB2	0.968
AKT1	GSK3A	0.968
PICALM	ITSN1	0.968
SYN2	CPLX1	0.968
DNAJC6	DNM3	0.968
RPS14	PABPC1	0.968
WASF1	RAC1	0.968
EIF4E	RPS3	0.968
CDC42	PLD1	0.968
SH3KBP1	EGFR	0.968
CYFIP1	RAC1	0.968
SYNJ1	GAK	0.967
PTEN	EGFR	0.967
SYNJ1	SYT1	0.967
CTNND1	EGFR	0.967
VAMP2	SLC17A7	0.967
ITSN1	ARF6	0.967
STX3	VAMP4	0.967
DNAJC5	SYT1	0.967
ADCYAP1	CALCA	0.967
RPS27	PABPC1	0.967
CYFIP2	ACTR2	0.967
BDNF	STAT3	0.967
AGRN	GPC4	0.967
SYT5	VAMP2	0.967
GAD2	SNAP25	0.967
STXBP5	STX1A	0.967
ITGB1	EGFR	0.967
SYT9	VAMP2	0.967
AKAP5	ADCY8	0.967
ITSN1	RAC1	0.967
SCN2A	CALM1	0.967
CTTN	FYN	0.966
NTRK2	PLCG1	0.966
NMU	GHSR	0.966
CASK	PPFIA3	0.966
PVRL1	CDH1	0.966
GRIN1	CALM1	0.966
ARRB2	SRC	0.966
SYNJ1	SH3KBP1	0.966
MTOR	PDPK1	0.966
RPL23	MDM2	0.966
APBA2	NRXN1	0.966
RPL23	PABPC1	0.966
SOS1	PLCG1	0.966
ERBB4	PSEN1	0.966
SYT5	STX1A	0.966
DRD3	CNR1	0.966
GRIA3	GRIA2	0.966
STX7	SNAP23	0.966
CDC42	ACTB	0.966
FCHO2	PICALM	0.966
CRKL	BCR	0.966
SYT1	VAMP4	0.965
GRIA3	GRIP1	0.965
ACTR2	CLTA	0.965
SYNJ1	CLTA	0.965
CACNA1D	STX1A	0.965
SRC	PLCG1	0.965
CDC42	ABR	0.965
SYNJ1	PICALM	0.965
EFNA5	ADAM10	0.965
SYNJ1	DNM2	0.965
PICALM	DNM2	0.965
CASK	EPB41	0.965
NRG3	EGFR	0.965
PAK7	RAC1	0.965
RPL14	PABPC1	0.965
PORCN	WNT5A	0.965
SCN2A	CALM2	0.965
ASAP1	ARF6	0.965
SHANK1	NRXN2	0.965
ITGB3	PTK2B	0.965
DVL1	GSK3B	0.965
CDC42	BCR	0.964
CALM1	CAMK4	0.964
ADD3	ADD1	0.964
SCN2A	ANK2	0.964
PDYN	DRD3	0.964
AKAP5	CALM2	0.964
SEC22B	ARF1	0.964
AAK1	CLTB	0.964
PCDH15	USH1C	0.964
CTNNB1	CDH15	0.964
SRC	RAC1	0.964
GRIN1	GRIA2	0.964
RPLP2	PABPC1	0.964
CPLX1	STX1B	0.964
RAB5A	VAMP7	0.964
PTK2B	SRC	0.964
DNM3	GAK	0.964
CAMK2B	CALM3	0.964
CDC42	OPHN1	0.964
GRIP1	GRIA4	0.964
FYN	PLCG1	0.964
PSEN1	CDH1	0.964
SHARPIN	SHANK1	0.964
SH3KBP1	RAB5A	0.963
NRXN1	SHANK1	0.963
CDC42	ABI1	0.963
CSPG5	BCAN	0.963
GABRA2	GABRB1	0.963
NOS1	NOS1AP	0.963
NUMB	CTNNB1	0.963
SRC	EGFR	0.963
EPB41	NRXN2	0.963
PTPRS	PPFIBP2	0.963
JAK2	BCR	0.963
GABRA2	GABRB2	0.963
DLGAP2	NRXN1	0.963
PICALM	GAK	0.963
SYNJ1	DNM3	0.963
EXOC3	VAMP2	0.962
ACTB	TUBA1A	0.962
NMU	NTS	0.962
CYFIP1	EIF4E	0.962
IL1RAPL1	NCS1	0.962
KCNA2	CTTN	0.962
ARF1	RAB11A	0.962
NRXN1	SYT2	0.962
EGFR	WNT5A	0.962
STX4	VAMP4	0.962
RAPGEF4	ADCY8	0.962
BDNF	PLCG1	0.962
SOS1	FYN	0.962
UNC13B	CPLX1	0.962
ACTR2	ABI1	0.962
SYN1	STX1A	0.962
PACSIN1	SYNJ1	0.962
CDC42	CTNNB1	0.962
LRFN2	DLG1	0.962
CPLX1	SYN1	0.962
CTNND1	ENAH	0.962
SRC	MDM2	0.962
RAC1	ABI2	0.962
PTK2B	FYN	0.962
SYT8	VAMP2	0.961
CAMK4	HDAC4	0.961
C4A	C1QB	0.961
CDC42	ARHGAP44	0.961
ADRA2C	CNR1	0.961
SH3GL2	SYNJ2	0.961
CACNG7	CACNA1D	0.961
CACNA1D	CACNG8	0.961
SRC	EFNA5	0.961
DYNLL2	GPHN	0.961
GPHN	GABRA1	0.961
PRKCZ	SRC	0.961
DNAJC5	VAMP2	0.961
NTRK3	PLCG1	0.961
SOS1	CDC42	0.961
SH3KBP1	SH3GL2	0.961
ARF1	ARFGEF2	0.960
GABRA2	GABRB3	0.960
SYT1	STX1B	0.960
DNM2	DNAJC6	0.960
SNAP25	VAMP4	0.960
AKT1	SOS1	0.960
HTT	ITPR1	0.960
ITGB3	AKT1	0.960
ARRB1	EGFR	0.960
NRXN1	EPB41	0.960
SH3KBP1	SYNJ2	0.960
NEFL	GRIN1	0.960
RAPGEF4	PCLO	0.960
PABPC1	RPS23	0.960
SLC18A3	SYT2	0.960
PRKCZ	GSK3B	0.960
NTRK3	PTPRS	0.959
SYN2	VAMP2	0.959
EIF3B	RPLP2	0.959
SYT2	VAMP4	0.959
RAC1	PLD1	0.959
GAD1	SNAP25	0.959
CCK	GHSR	0.959
CHRNA4	CHRNB4	0.959
AP3B1	BLOC1S6	0.959
YES1	EGFR	0.959
JAK2	SRC	0.959
CAMK2B	GRIA2	0.959
WNT7A	WNT5A	0.959
WASF1	ACTB	0.959
SLC18A3	SYT1	0.959
ITSN1	SYNJ2	0.959
SRC	PDPK1	0.959
NRCAM	CNTN2	0.959
SYNJ1	PACSIN2	0.959
RAB5C	RAB10	0.959
PRKCZ	CTNNB1	0.959
C4A	C1QC	0.959
